stop_id,feature_type,feature_name
193,6000,Pavement at front door
193,6000,Lighting at stop
193,6000,Shelter
193,6000,Sidewalk at stop
193,6000,Traffic signal
194,6000,Pavement at back door
194,6000,Schedule display
194,6000,Bench near stop
194,6000,Curb ramp near stop
194,6000,Pavement at front door
194,6000,Lighting at stop
194,6000,Sidewalk at stop
195,6000,Pavement at back door
195,6000,Schedule display
195,6000,Crosswalk near stop
195,6000,Curb ramp near stop
195,6000,Pavement at front door
195,6000,Lighting at stop
195,6000,Sidewalk at stop
196,6000,Pavement at back door
196,6000,Schedule display
196,6000,Pavement at front door
196,6000,Lighting at stop
196,6000,Sidewalk at stop
197,6000,Schedule display
197,6000,Curb ramp near stop
197,6000,Pavement at front door
197,6000,Lighting at stop
197,6000,Sidewalk at stop
198,6000,Pavement at back door
198,6000,Schedule display
198,6000,Curb ramp near stop
198,6000,Pavement at front door
198,6000,Lighting at stop
198,6000,Sidewalk at stop
199,6000,Pavement at back door
199,6000,Schedule display
199,6000,Bench near stop
199,6000,Pavement at front door
199,6000,Lighting at stop
199,6000,Shelter
199,6000,Sidewalk at stop
199,6000,Garbage Can
199,6000,Telephone near stop
200,6000,Pavement at back door
200,6000,Schedule display
200,6000,Crosswalk near stop
200,6000,Curb ramp near stop
200,6000,Pavement at front door
200,6000,Lighting at stop
200,6000,Garbage Can
201,6000,Schedule display
201,6000,Lighting at stop
202,6000,Schedule display
202,6000,Bench near stop
202,6000,Crosswalk near stop
202,6000,Curb ramp near stop
202,6000,Pavement at front door
202,6000,Lighting at stop
202,6000,Lighting at stop
202,6000,Shelter
202,6000,Sidewalk at stop
202,6000,Garbage Can
202,6000,Telephone near stop
202,6000,Traffic signal
203,6000,Pavement at back door
203,6000,Schedule display
203,6000,Bench near stop
203,6000,Crosswalk near stop
203,6000,Curb ramp near stop
203,6000,Pavement at front door
203,6000,Lighting at stop
203,6000,Lighting at stop
203,6000,Shelter
203,6000,Sidewalk at stop
203,6000,Traffic signal
207,6000,Pavement at back door
207,6000,Schedule display
207,6000,Crosswalk near stop
207,6000,Curb ramp near stop
207,6000,Pavement at front door
207,6000,Lighting at stop
207,6000,Sidewalk at stop
207,6000,Traffic signal
208,6000,Pavement at back door
208,6000,Schedule display
208,6000,Bench near stop
208,6000,Pavement at front door
208,6000,Lighting at stop
208,6000,Lighting at stop
208,6000,Shelter
208,6000,Garbage Can
208,6000,Telephone near stop
209,6000,Pavement at back door
209,6000,Schedule display
209,6000,Crosswalk near stop
209,6000,Curb ramp near stop
209,6000,Pavement at front door
209,6000,Lighting at stop
